product_id,product,category,quantity,expiry_date,status
PN001,Apples,Fruits,5,02-01-2024,unsold
PN001,Apples,Fruits,2,11-01-2024,sold
PN001,Apples,Fruits,15,12-01-2024,sold
PN001,Apples,Fruits,6,24-01-2024,sold
PN001,Apples,Fruits,20,25-01-2024,sold
PN001,Apples,Fruits,16,26-01-2024,sold
PN001,Apples,Fruits,5,27-01-2024,unsold
PN001,Apples,Fruits,6,03-02-2024,sold
PN001,Apples,Fruits,1,05-02-2024,unsold
PN001,Apples,Fruits,4,05-02-2024,unsold
PN001,Apples,Fruits,1,05-02-2024,unsold
PN001,Apples,Fruits,6,07-02-2024,sold
PN001,Apples,Fruits,5,19-02-2024,unsold
PN001,Apples,Fruits,5,19-02-2024,unsold
PN001,Apples,Fruits,4,20-02-2024,sold
PN001,Apples,Fruits,1,20-02-2024,unsold
PN001,Apples,Fruits,7,22-02-2024,sold
PN001,Apples,Fruits,3,26-02-2024,unsold
PN001,Apples,Fruits,4,27-02-2024,sold
PN001,Apples,Fruits,4,28-02-2024,unsold
PN001,Apples,Fruits,9,02-03-2024,sold
PN001,Apples,Fruits,1,08-03-2024,sold
PN001,Apples,Fruits,11,08-03-2024,sold
PN001,Apples,Fruits,1,09-03-2024,unsold
PN001,Apples,Fruits,4,09-03-2024,unsold
PN001,Apples,Fruits,3,09-03-2024,unsold
PN001,Apples,Fruits,6,10-03-2024,sold
PN001,Apples,Fruits,16,15-03-2024,sold
PN001,Apples,Fruits,5,16-03-2024,unsold
PN001,Apples,Fruits,3,16-03-2024,unsold
PN001,Apples,Fruits,2,16-03-2024,unsold
PN001,Apples,Fruits,14,17-03-2024,sold
PN001,Apples,Fruits,17,22-03-2024,sold
PN001,Apples,Fruits,19,25-03-2024,sold
PN001,Apples,Fruits,19,25-03-2024,sold
PN001,Apples,Fruits,1,31-03-2024,unsold
PN001,Apples,Fruits,8,01-04-2024,sold
PN001,Apples,Fruits,5,04-04-2024,sold
PN001,Apples,Fruits,1,04-04-2024,unsold
PN001,Apples,Fruits,1,04-04-2024,unsold
PN001,Apples,Fruits,20,05-04-2024,sold
PN001,Apples,Fruits,5,16-04-2024,sold
PN001,Apples,Fruits,20,17-04-2024,sold
PN001,Apples,Fruits,8,27-04-2024,sold
PN001,Apples,Fruits,15,28-04-2024,sold
PN001,Apples,Fruits,3,28-04-2024,sold
PN001,Apples,Fruits,9,29-04-2024,sold
PN001,Apples,Fruits,5,29-04-2024,unsold
PN001,Apples,Fruits,5,30-04-2024,unsold
PN001,Apples,Fruits,1,01-05-2024,unsold
PN001,Apples,Fruits,8,04-05-2024,sold
PN001,Apples,Fruits,5,09-05-2024,unsold
PN001,Apples,Fruits,20,12-05-2024,sold
PN001,Apples,Fruits,4,13-05-2024,unsold
PN001,Apples,Fruits,1,18-05-2024,unsold
PN001,Apples,Fruits,18,02-06-2024,sold
PN001,Apples,Fruits,11,06-06-2024,sold
PN001,Apples,Fruits,6,09-06-2024,sold
PN001,Apples,Fruits,6,09-06-2024,sold
PN001,Apples,Fruits,6,12-06-2024,sold
PN001,Apples,Fruits,5,12-06-2024,sold
PN001,Apples,Fruits,11,14-06-2024,sold
PN001,Apples,Fruits,3,14-06-2024,unsold
PN001,Apples,Fruits,13,16-06-2024,sold
PN001,Apples,Fruits,3,22-06-2024,unsold
PN001,Apples,Fruits,5,22-06-2024,unsold
PN001,Apples,Fruits,10,24-06-2024,sold
PN001,Apples,Fruits,3,03-07-2024,sold
PN001,Apples,Fruits,2,03-07-2024,unsold
PN001,Apples,Fruits,4,03-07-2024,unsold
PN001,Apples,Fruits,4,10-07-2024,unsold
PN001,Apples,Fruits,4,11-07-2024,unsold
PN001,Apples,Fruits,4,12-07-2024,sold
PN001,Apples,Fruits,1,12-07-2024,unsold
PN001,Apples,Fruits,4,12-07-2024,unsold
PN001,Apples,Fruits,2,12-07-2024,unsold
PN001,Apples,Fruits,5,13-07-2024,sold
PN001,Apples,Fruits,1,14-07-2024,sold
PN001,Apples,Fruits,5,16-07-2024,unsold
PN001,Apples,Fruits,10,17-07-2024,sold
PN001,Apples,Fruits,2,21-07-2024,sold
PN001,Apples,Fruits,4,23-07-2024,unsold
PN001,Apples,Fruits,10,24-07-2024,sold
PN001,Apples,Fruits,7,25-07-2024,sold
PN001,Apples,Fruits,3,28-07-2024,unsold
PN001,Apples,Fruits,3,28-07-2024,unsold
PN001,Apples,Fruits,6,30-07-2024,sold
PN001,Apples,Fruits,4,31-07-2024,sold
PN001,Apples,Fruits,13,03-08-2024,sold
PN001,Apples,Fruits,8,05-08-2024,sold
PN001,Apples,Fruits,8,07-08-2024,sold
PN001,Apples,Fruits,15,10-08-2024,sold
PN001,Apples,Fruits,5,12-08-2024,unsold
PN001,Apples,Fruits,9,14-08-2024,sold
PN001,Apples,Fruits,5,14-08-2024,unsold
PN001,Apples,Fruits,1,14-08-2024,unsold
PN001,Apples,Fruits,10,16-08-2024,sold
PN001,Apples,Fruits,9,19-08-2024,sold
PN001,Apples,Fruits,7,20-08-2024,sold
PN001,Apples,Fruits,5,21-08-2024,unsold
PN001,Apples,Fruits,6,22-08-2024,sold
PN001,Apples,Fruits,1,22-08-2024,unsold
